plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE951349529731,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/17/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE966220945234,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/17/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE908593275419,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/21/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE928847049986,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/21/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE902035720697,ASO-875422-11,Solare Strahlungsenergie,Peitz,Turnow-Preilack,7/19/2011,Hochspannung,1.4,0.12,1471.6799999999998,339,,4258.226477173535
SEE981281652846,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/27/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE967121265261,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/27/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE918950420536,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/3/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE943153785892,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/3/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE935940321413,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/10/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE908609081850,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/10/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE957198354517,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/17/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE934181824981,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/17/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE944799875442,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/24/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE988535804235,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/28/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE964099884500,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/24/2009,Hochspannung,1.25,0.12,1314.0,1598,,2569.90318991314
SEE908337435154,SILVINO GmbH & Co. KG (PVA Finsterwalde 1A),Solare Strahlungsenergie,Finsterwalde,Finsterwalde,9/28/2009,Hochspannung,0.63,0.12,662.256,1598,,2569.90318991314
SEE961408707833,V19623,Wind,Bliesdorf,Bliesdorf,12/30/2004,Hochspannung,2.0,0.3,5256.0,2810,UW Alttrebbin,2574.8957932060757
SEE969880531380,V13515,Wind,Rietz-Neuendorf,Rietz-Neuendorf,12/1/2004,Hochspannung,2.0,0.3,5256.0,1693,Birkholz,1024.0449706892623
SEE974515790278,LüdII-02,Wind,Am Mellensee,Am Mellensee,5/20/2016,Hochspannung,3.3,0.3,8672.4,1406,Christinendorf,1725.245528949293
SEE949677358536,WEA 09,Wind,Ahrensfelde,Bernau,4/27/2018,Hochspannung,3.45,0.3,9066.6,2434,,1407.2476217757824
SEE990959212923,V19611,Wind,Bliesdorf,Bliesdorf,5/28/2005,Hochspannung,1.75,0.3,4599.0,1711,Bliesdorf,394.3231272130899
SEE948794489796,WEA 10,Wind,Ahrensfelde,Bernau,3/22/2018,Hochspannung,3.45,0.3,9066.6,2434,,1406.4073220282535
SEE935830122106,WEA 11,Wind,Ahrensfelde,Bernau,3/22/2018,Hochspannung,3.45,0.3,9066.6,2434,,1110.0952443373874
SEE902659078006,WEA 12,Wind,Ahrensfelde,Bernau,3/19/2018,Hochspannung,3.45,0.3,9066.6,2434,,969.4524777322417
SEE943437302227,WEA 13,Wind,Ahrensfelde,Bernau,3/8/2018,Hochspannung,3.45,0.3,9066.6,2434,,915.5220729763713
SEE967228686372,Windkraftanlage Vehlin Eins GmbH & Co. KG,Wind,Gumtow,Gumtow,2/17/2014,Hochspannung,2.3,0.3,6044.4,1802,Vehlin,187.63216567978984
SEE906787238677,V47862,Wind,Zehdenick,Zehdenick,12/19/2012,Hochspannung,2.0,0.3,5256.0,1707,Umspannstation Klein Mutz,663.1136052798635
SEE927558044396,LHI Solar Deutschland VI GmbH & Co. KG (PVA Welzow),Solare Strahlungsenergie,Neu-Seeland,Neu-Seeland,12/6/2011,Hochspannung,5.6,0.12,5886.719999999999,588,,1748.1827791882304
SEE985977859892,V47864,Wind,Zehdenick,Zehdenick,12/18/2012,Hochspannung,2.0,0.3,5256.0,205,,530.9475560047263
